Harbor Name
"Vatika Bay, Greece (VAB)"
"Volissos (Limnia) Chios, Greece (VLC)"
"Vouliagmeni, Greece (VLM)"
"Volos, Greece (VOL)"
"Vrisakia, Greece (VRI)"
"Vassiliki Leykadas, Greece (VSS)"
"Vathy (Port Vathy), Greece (VTH)"
"Xirokambion, Greece (XKB)"
"Elaiokhoria, Greece (XZX)"
"Yaltra, Greece (YAL)"
"Kimi (Kymi), Greece (KIM)"
"Koilas Ermionidos, Greece (KIN)"
"Kiato, Greece (KIO)"
"Kiparissia, Greece (KIP)"
"Kastelli Kissamou, Greece (KIS)"
"Kalathos Rodou, Greece (KLD)"
"Klima, Greece (KLI)"
"Kalilimenes, Greece (KLL)"
"Kalamaki, Greece (KLM)"
"Kalamata, Greece (KLX)"
"Kalymnos, Greece (KMI)"
"Kimolos, Greece (KMS)"
"Kontias Limnou, Greece (KNS)"
"Koufonissia Kykladon, Greece (KOF)"
"Kamares Sifnos, Greece (KRE)"
"Astypalaia, Greece (JTY)"
"Karkinagri Ikarias, Greece (KAG)"
"Kato Achaia, Greece (KAH)"
"Kalamos Island (Lefkada), Greece (KAI)"
"Katakolon, Greece (KAK)"
"Kapsalion (Kythira), Greece (KAP)"
"Neon Karlovasion, Greece (KAR)"
"Kastellorizou (ex Megisti), Greece (KAS)"
"Kardamyla, Greece (KDM)"
"Kea (Tzia), Greece (KEA)"
"Kefalos Ko, Greece (KEF)"
"Katerini, Greece (KEI)"
"Kosta Ermionidas, Greece (KEM)"
"Keramoti, Greece (KER)"
"Kos, Greece (KGS)"
"Sougia Chanion, Greece (SOG)"
"Soupri, Greece (SOR)"
"Assos, Greece (SOS)"
"Spetsai, Greece (SPE)"
"Stratoni, Greece (STI)"
"Saint Nicolas, Greece (STN)"
"Suda Bay, Greece (SUD)"
"Symi, Greece (SYM)"
"Stylida (Stylis), Greece (SYS)"
"Artemis, Greece (TEM)"
"Thymaina Island, Greece (THM)"
"Tilos, Greece (TIL)"
"Tinos, Greece (TIN)"
"Thessi Kyrillo, Greece (TKO)"
"Tolo Argolidos, Greece (TLA)"
"Kardamaina Kos, Greece (KRM)"
"Korinthos, Greece (KRT)"
"Kastos Island, Greece (KSI)"
"Kassos, Greece (KSJ)"
"Istanbul, Greece (TR-IST)"
"Kassiopi Corfu, Greece (KSP)"
"Karystos, Greece (KST)"
"Katapola, Greece (KTP)"
"Keratsinion, Greece (KTS)"
"Kavala, Greece (KVA)"
"Kyllini, Greece (KYL)"
"Kimasi, Greece (KYM)"
"Kythnos, Greece (KYT)"
"Lavrion (Laurium), Greece (LAV)"
"Lindos Rodou, Greece (LDR)"
"Lefkandi, Greece (LEF)"
"Lefkada (Lefkas), Greece (LEV)"
"Lefkimmi, Greece (LFK)"
"Linaria, Greece (LIA)"
"Limni, Greece (LII)"
"Linoperamata Hrakliou, Greece (LIN)"
"Lipsoi, Greece (LIP)"
"Lixuri, Greece (LIX)"
"Leonidion, Greece (LND)"
"Larymna, Greece (LRY)"
"Loutro Chanion, Greece (LTR)"
"Aliverio, Greece (LVR)"
"Moudhros, Greece (MDR)"
"Mirties Kalimnou, Greece (MRS)"
"Mesolongion, Greece (MEL)"
"Sigri Lesvou, Greece (SGR)"
"Sagiada Thesprotias, Greece (SGT)"
"Stavros Halkidikis, Greece (SHA)"
"Schinousa Kykladon, Greece (SHC)"
"Shinari Zakynthou, Greece (SHI)"
"Sikinos, Greece (SII)"
"Sikionia, Greece (SIK)"
"Skafidia, Greece (SKD)"
"Thessaloniki, Greece (SKG)"
"Skaloma, Greece (SKM)"
"Skopelos, Greece (SKO)"
"Skiros, Greece (SKU)"
"Souvala, Greece (SLA)"
"Samos, Greece (SMI)"
"Salonika, Greece (SNK)"
"Pythagoreion, Greece (PYT)"
"Peyki Evvoias, Greece (PYV)"
"Rafina, Greece (RAF)"
"Rethymnon, Greece (RET)"
"Revithoussa, Greece (REV)"
"Rhodes, Greece (RHO)"
"Rio, Greece (RIO)"
"Agia Roumeli, Greece (ROU)"
"Sami, Greece (SAI)"
"Salamis, Greece (SAL)"
"Samothraki, Greece (SAM)"
"Frikes Ithakis, Greece (SAT)"
"Stavrochorion, Greece (SCR)"
"Seriphos, Greece (SER)"
"Saint George, Greece (SGB)"
"Menidi, Greece (MEN)"
"Methoni, Greece (MET)"
"Meganisi, Greece (MGN)"
"Mesta Hiou, Greece (MHI)"
"Mytilene, Greece (MJT)"
"MARATHOKAMPOS SAMOU, Greece (MKP)"
"Molyvos, Greece (MOL)"
"Monemvasia, Greece (MON)"
"Moutsouna, Greece (MOU)"
"Marmari, Greece (MRM)"
"Malessina, Greece (MSA)"
"Mathraki Diapontioi Island, Greece (MTR)"
"Moni Vatopediou, Greece (MVO)"
"Mastichari Kos, Greece (MXK)"
"Myrtos Beach, Greece (MYB)"
"Prinos Thassou, Greece (PPI)"
"Petries Evvoias, Greece (PRE)"
"Perea, Greece (PRR)"
"Psakhna, Greece (PSA)"
"Phserimos Dodekanisou, Greece (PSE)"
"Paleohora Sfakion, Greece (PSF)"
"Pessada Kefallinnias, Greece (PSK)"
"Pteleos, Greece (PTE)"
"Plataria, Greece (PTI)"
"Politika, Greece (PTK)"
"Lagos (Porto-Lago), Greece (PTL)"
"Poros Trizinias, Greece (PTR)"
"Preveza/Lefkas, Greece (PVK)"
"Pylos, Greece (PYL)"
"Pyrgos, Greece (PYR)"
"Mylaki, Greece (MYL)"
"Mirina, Greece (MYR)"
"Nafplion, Greece (NAF)"
"Nea Artaki, Greece (NAR)"
"Naoussa Parou, Greece (NAS)"
"Neapolis, Greece (NEA)"
"Nidhrion, Greece (NID)"
"Nisiros, Greece (NIS)"
"Nea Kallikratia, Greece (NKA)"
"Nea Karvali, Greece (NKV)"
"Nea Moudhania, Greece (NMA)"
"Navpaktos, Greece (NPK)"
"Nea Stira, Greece (NST)"
"Oia Kyklades, Greece (OIK)"
"Orei, Greece (ORE)"
"Porto Heli, Greece (PHE)"
"Platania, Greece (PIA)"
"Piraeus, Greece (PIR)"
"Pissaetos Ithakis, Greece (PIS)"
"Pitra, Greece (PIT)"
"Poros Kefallinias, Greece (PKE)"
"Lakkion, Greece (PKK)"
"Canakkale, Greece (TR-CKZ)"
"Platygiali Etoloakarnanias, Greece (PLG)"
"Plomarion, Greece (PLM)"
"Petra, Greece (PLV)"
"Pachi, Greece (PME)"
"Patmos, Greece (PMS)"
"Ormos Panormou, Greece (PNT)"
"Potamos Antikithera, Greece (POA)"
"Oropos, Greece (ORO)"
"Othonoi, Greece (OTH)"
"Ouranopolis, Greece (OUR)"
"Psara, Greece (PAA)"
"Paloukia, Greece (PAO)"
"Parga, Greece (PAR)"
"Paros, Greece (PAS)"
"Paxi, Greece (PAX)"
"Paleochora, Greece (PCH)"
"Petani Beach, Greece (PEB)"
"Pelasyia, Greece (PEL)"
"Palaia Epidavros, Greece (PEP)"
"Perama, Greece (PER)"
"Palaia Fokaia, Greece (PFA)"
"Perama Geras Mytilinis, Greece (PGM)"
